# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 12
3.958770036697387695e-01 2.054368495941162109e+00 2.540460586547851562e+00 2.192610740661621094e+00
4.021126329898834229e-01 2.008424758911132812e+00 2.494040250778198242e+00 2.137604713439941406e+00
4.084537327289581299e-01 2.000548839569091797e+00 2.474420309066772461e+00 2.108904123306274414e+00
4.147696197032928467e-01 1.953837275505065918e+00 2.414047241210937500e+00 2.017473459243774414e+00
4.210544228553771973e-01 1.903881788253784180e+00 2.364603281021118164e+00 1.973920702934265137e+00
4.273288547992706299e-01 1.859506845474243164e+00 2.291075944900512695e+00 1.904442906379699707e+00
4.336213767528533936e-01 1.834363460540771484e+00 2.240967512130737305e+00 1.832881569862365723e+00
4.399181902408599854e-01 1.791628122329711914e+00 2.198928594589233398e+00 1.767735004425048828e+00
4.461484551429748535e-01 1.768042802810668945e+00 2.170401096343994141e+00 1.745772123336791992e+00
4.524188637733459473e-01 1.749095797538757324e+00 2.133614063262939453e+00 1.705733060836791992e+00
4.587154984474182129e-01 1.715487837791442871e+00 2.098879814147949219e+00 1.661409258842468262e+00
4.650256633758544922e-01 1.672234296798706055e+00 2.021489858627319336e+00 1.579045534133911133e+00
4.713141322135925293e-01 1.648340702056884766e+00 2.004745244979858398e+00 1.541315913200378418e+00
4.775804579257965088e-01 1.626690864562988281e+00 1.965781688690185547e+00 1.496674537658691406e+00
4.838812351226806641e-01 1.590940833091735840e+00 1.935552835464477539e+00 1.456931233406066895e+00
4.901502430438995361e-01 1.571850419044494629e+00 1.897444248199462891e+00 1.410305857658386230e+00
4.963996410369873047e-01 1.542692303657531738e+00 1.870472908020019531e+00 1.377860307693481445e+00
5.026662349700927734e-01 1.534630060195922852e+00 1.845532894134521484e+00 1.357369422912597656e+00
5.089647173881530762e-01 1.508692979812622070e+00 1.815448045730590820e+00 1.309890508651733398e+00
5.152750611305236816e-01 1.478690505027770996e+00 1.770922422409057617e+00 1.275547742843627930e+00
5.215665102005004883e-01 1.471307992935180664e+00 1.758775353431701660e+00 1.256267905235290527e+00
5.278289914131164551e-01 1.434135675430297852e+00 1.711345911026000977e+00 1.206066250801086426e+00
5.341163873672485352e-01 1.428267598152160645e+00 1.707953691482543945e+00 1.184965252876281738e+00
5.404307842254638672e-01 1.397354722023010254e+00 1.670319795608520508e+00 1.143436431884765625e+00
5.466980934143066406e-01 1.379226326942443848e+00 1.649363636970520020e+00 1.123685121536254883e+00
5.529599189758300781e-01 1.364528298377990723e+00 1.623041272163391113e+00 1.101442337036132812e+00
5.592443943023681641e-01 1.352092504501342773e+00 1.603989362716674805e+00 1.069545745849609375e+00
5.655549764633178711e-01 1.332154512405395508e+00 1.584079861640930176e+00 1.047921419143676758e+00
5.718548893928527832e-01 1.312546849250793457e+00 1.556904673576354980e+00 1.012803673744201660e+00
5.781230330467224121e-01 1.290387034416198730e+00 1.522429108619689941e+00 9.858646392822265625e-01
5.844058990478515625e-01 1.273631215095520020e+00 1.500872373580932617e+00 9.558990001678466797e-01
5.906696915626525879e-01 1.263292670249938965e+00 1.493273735046386719e+00 9.476801753044128418e-01
5.969164371490478516e-01 1.254231095314025879e+00 1.485650897026062012e+00 9.360841512680053711e-01
6.031712889671325684e-01 1.239982843399047852e+00 1.460523247718811035e+00 9.065304398536682129e-01
6.094692349433898926e-01 1.228390812873840332e+00 1.448290348052978516e+00 8.881312608718872070e-01
6.158122420310974121e-01 1.206844329833984375e+00 1.414132714271545410e+00 8.527865409851074219e-01
6.221026778221130371e-01 1.189641237258911133e+00 1.397703051567077637e+00 8.422214388847351074e-01
6.283664703369140625e-01 1.184589743614196777e+00 1.389461159706115723e+00 8.273782134056091309e-01
6.346465945243835449e-01 1.165886640548706055e+00 1.368871688842773438e+00 8.072356581687927246e-01
6.409400701522827148e-01 1.151822209358215332e+00 1.350706696510314941e+00 7.825557589530944824e-01
6.472375988960266113e-01 1.140946626663208008e+00 1.329365253448486328e+00 7.730971574783325195e-01
6.534771919250488281e-01 1.134268999099731445e+00 1.336839675903320312e+00 7.661015391349792480e-01
6.597641706466674805e-01 1.118926167488098145e+00 1.304357051849365234e+00 7.435593605041503906e-01
6.660755872726440430e-01 1.099639654159545898e+00 1.282654285430908203e+00 7.121129035949707031e-01
6.723406314849853516e-01 1.098095893859863281e+00 1.274516820907592773e+00 7.043567299842834473e-01
6.786084175109863281e-01 1.080955743789672852e+00 1.261326313018798828e+00 6.923209428787231445e-01
6.849139928817749023e-01 1.067951798439025879e+00 1.238537311553955078e+00 6.796485185623168945e-01
