# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 7
6.346465945243835449e-01 4.884974062442779541e-01 1.143871903419494629e+00 7.544274926185607910e-01
6.409400701522827148e-01 4.807508587837219238e-01 1.127222776412963867e+00 7.363218665122985840e-01
6.472375988960266113e-01 4.742026627063751221e-01 1.115408062934875488e+00 7.200666666030883789e-01
6.534771919250488281e-01 4.710798859596252441e-01 1.106062054634094238e+00 7.083265185356140137e-01
6.597641706466674805e-01 4.622229337692260742e-01 1.087998509407043457e+00 6.878806948661804199e-01
6.660755872726440430e-01 4.563995599746704102e-01 1.076998949050903320e+00 6.818939447402954102e-01
6.723406314849853516e-01 4.513966739177703857e-01 1.062298178672790527e+00 6.670320034027099609e-01
6.786084175109863281e-01 4.415838718414306641e-01 1.041121244430541992e+00 6.478376984596252441e-01
6.849139928817749023e-01 4.392832815647125244e-01 1.038017630577087402e+00 6.311474442481994629e-01
6.912255883216857910e-01 4.346703588962554932e-01 1.030071496963500977e+00 6.318977475166320801e-01
6.974714994430541992e-01 4.268652498722076416e-01 1.010902047157287598e+00 6.076074838638305664e-01
7.037312388420104980e-01 4.253055453300476074e-01 1.008880972862243652e+00 6.027485132217407227e-01
7.100222706794738770e-01 4.195840358734130859e-01 9.974561929702758789e-01 5.928554534912109375e-01
7.163255810737609863e-01 4.150113463401794434e-01 9.872657656669616699e-01 5.861968398094177246e-01
7.226014137268066406e-01 4.090650081634521484e-01 9.737404584884643555e-01 5.666823387145996094e-01
7.288721799850463867e-01 4.064365029335021973e-01 9.660851359367370605e-01 5.574595332145690918e-01
7.351884245872497559e-01 4.005541503429412842e-01 9.549508094787597656e-01 5.418736338615417480e-01
7.414690256118774414e-01 3.960569202899932861e-01 9.459634423255920410e-01 5.340262651443481445e-01
7.477109432220458984e-01 3.902005851268768311e-01 9.351854920387268066e-01 5.290679335594177246e-01
7.539890408515930176e-01 3.877781331539154053e-01 9.249613881111145020e-01 5.219298005104064941e-01
7.602919936180114746e-01 3.823904693126678467e-01 9.183837175369262695e-01 5.084984898567199707e-01
7.665897607803344727e-01 3.798484206199645996e-01 9.116273522377014160e-01 5.037673711776733398e-01
7.728743553161621094e-01 3.755033612251281738e-01 9.003933668136596680e-01 4.926680624485015869e-01
7.791499495506286621e-01 3.724135160446166992e-01 8.952677845954895020e-01 4.792043864727020264e-01
7.854521274566650391e-01 3.670419454574584961e-01 8.822423219680786133e-01 4.724904596805572510e-01
7.917414903640747070e-01 3.620499074459075928e-01 8.727825284004211426e-01 4.684402644634246826e-01
7.979945540428161621e-01 3.592210412025451660e-01 8.661926984786987305e-01 4.570598006248474121e-01
8.042516112327575684e-01 3.558193743228912354e-01 8.620108962059020996e-01 4.537257254123687744e-01
